input_name,query_used,param,matched_name,ticker,exchange,cik,http_status,endpoint_used,source
Humana,Humana,q,N/A,N/A,N/A,,ERR,,none
China Minmetals,China Minmetals,q,N/A,N/A,N/A,,ERR,,none
Gazprom,Gazprom,q,N/A,N/A,N/A,,ERR,,none
Reliance Industries,Reliance Industries,q,N/A,N/A,N/A,,ERR,,none
Societe Generale,Societe Generale,q,N/A,N/A,N/A,,ERR,,none
Rosneft Oil,Rosneft Oil,q,N/A,N/A,N/A,,ERR,,none
BYD,BYD,q,N/A,N/A,N/A,,ERR,,none
China Energy Investment,China Energy Investment,q,N/A,N/A,N/A,,ERR,,none
Morgan Stanley,Morgan Stanley,q,N/A,N/A,N/A,,ERR,,none
Target,Target,q,N/A,N/A,N/A,,ERR,,none
Life Insurance Corp. of India,Life Insurance Corp. of India,q,N/A,N/A,N/A,,ERR,,none
Equinor,Equinor,q,N/A,N/A,N/A,,ERR,,none
Nestl�,Nestl�,q,N/A,N/A,N/A,,ERR,,none
Xiamen C&D,Xiamen C&D,q,N/A,N/A,N/A,,ERR,,none
StoneX Group,StoneX Group,q,N/A,N/A,N/A,,ERR,,none
PowerChina,PowerChina,q,N/A,N/A,N/A,,ERR,,none
Royal Bank of Canada,Royal Bank of Canada,q,N/A,N/A,N/A,,ERR,,none
Sberbank,Sberbank,q,N/A,N/A,N/A,,ERR,,none
AXA,AXA,q,N/A,N/A,N/A,,ERR,,none
ENI,ENI,q,N/A,N/A,N/A,,ERR,,none
Bosch Group,Bosch Group,q,N/A,N/A,N/A,,ERR,,none
Tesla,Tesla,q,N/A,N/A,N/A,,ERR,,none
China Post Group,China Post Group,q,N/A,N/A,N/A,,ERR,,none
Royal Ahold Delhaize,Royal Ahold Delhaize,q,N/A,N/A,N/A,,ERR,,none
Itochu,Itochu,q,N/A,N/A,N/A,,ERR,,none
Mitsui,Mitsui,q,N/A,N/A,N/A,,ERR,,none
Dell Technologies,Dell Technologies,q,N/A,N/A,N/A,,ERR,,none
REWE Group,REWE Group,q,N/A,N/A,N/A,,ERR,,none
Carrefour,Carrefour,q,N/A,N/A,N/A,,ERR,,none
SK,SK,q,N/A,N/A,N/A,,ERR,,none
PepsiCo,PepsiCo,q,N/A,N/A,N/A,,ERR,,none
Tencent Holdings,Tencent Holdings,q,N/A,N/A,N/A,,ERR,,none
Christian Dior,Christian Dior,q,N/A,N/A,N/A,,ERR,,none
Zhejiang Rongsheng Holding Group,Zhejiang Rongsheng Holding Group,q,N/A,N/A,N/A,,ERR,,none
Sinopharm,Sinopharm,q,N/A,N/A,N/A,,ERR,,none
Petrobras,Petrobras,q,N/A,N/A,N/A,,ERR,,none
Pemex,Pemex,q,N/A,N/A,N/A,,ERR,,none
Walt Disney,Walt Disney,q,N/A,N/A,N/A,,ERR,,none
United Parcel Service,United Parcel Service,q,N/A,N/A,N/A,,ERR,,none
DHL Group,DHL Group,q,N/A,N/A,N/A,,ERR,,none
Credit Agricole,Credit Agricole,q,N/A,N/A,N/A,,ERR,,none
Taiwan Semiconductor Manufacturing,Taiwan Semiconductor Manufacturing,q,N/A,N/A,N/A,,ERR,,none
Indian Oil,Indian Oil,q,N/A,N/A,N/A,,ERR,,none
NTT,NTT,q,N/A,N/A,N/A,,ERR,,none
