input_name,query_used,param,matched_name,ticker,exchange,cik,http_status,endpoint_used,source
U.S. Bancorp,U.S. Bancorp,q,N/A,N/A,N/A,,ERR,,none
Caixa Econ�mica Federal,Caixa Econ�mica Federal,q,N/A,N/A,N/A,,ERR,,none
Fairfax Financial Holdings,Fairfax Financial Holdings,q,N/A,N/A,N/A,,ERR,,none
J. Sainsbury,J. Sainsbury,q,N/A,N/A,N/A,,ERR,,none
Zijin Mining Group,Zijin Mining Group,q,N/A,N/A,N/A,,ERR,,none
World Kinect,World Kinect,q,N/A,N/A,N/A,,ERR,,none
X5 Retail Group,X5 Retail Group,q,N/A,N/A,N/A,,ERR,,none
Novo Nordisk,Novo Nordisk,q,N/A,N/A,N/A,,ERR,,none
Olam Group,Olam Group,q,N/A,N/A,N/A,,ERR,,none
Compass Group,Compass Group,q,N/A,N/A,N/A,,ERR,,none
Hyundai Mobis,Hyundai Mobis,q,N/A,N/A,N/A,,ERR,,none
Abbott Laboratories,Abbott Laboratories,q,N/A,N/A,N/A,,ERR,,none
Standard Chartered,Standard Chartered,q,N/A,N/A,N/A,,ERR,,none
Shanghai Construction Group,Shanghai Construction Group,q,N/A,N/A,N/A,,ERR,,none
Inditex,Inditex,q,N/A,N/A,N/A,,ERR,,none
Best Buy,Best Buy,q,N/A,N/A,N/A,,ERR,,none
Northwestern Mutual,Northwestern Mutual,q,N/A,N/A,N/A,,ERR,,none
Schneider Electric,Schneider Electric,q,N/A,N/A,N/A,,ERR,,none
KB Financial Group,KB Financial Group,q,N/A,N/A,N/A,,ERR,,none
Northrop Grumman,Northrop Grumman,q,N/A,N/A,N/A,,ERR,,none
National Australia Bank,National Australia Bank,q,N/A,N/A,N/A,,ERR,,none
Hanwha,Hanwha,q,N/A,N/A,N/A,,ERR,,none
Molina Healthcare,Molina Healthcare,q,N/A,N/A,N/A,,ERR,,none
Lufthansa Group,Lufthansa Group,q,N/A,N/A,N/A,,ERR,,none
Dollar General,Dollar General,q,N/A,N/A,N/A,,ERR,,none
LyondellBasell Industries,LyondellBasell Industries,q,N/A,N/A,N/A,,ERR,,none
China Minsheng Banking,China Minsheng Banking,q,N/A,N/A,N/A,,ERR,,none
GSK,GSK,q,N/A,N/A,N/A,,ERR,,none
Bank of New York (BNY),Bank of New York (BNY),q,N/A,N/A,N/A,,ERR,,none
Haier Smart Home,Haier Smart Home,q,N/A,N/A,N/A,,ERR,,none
Cenovus Energy,Cenovus Energy,q,N/A,N/A,N/A,,ERR,,none
Coop Group,Coop Group,q,N/A,N/A,N/A,,ERR,,none
S.F. Holding,S.F. Holding,q,N/A,N/A,N/A,,ERR,,none
Hangzhou Industrial Investment Group,Hangzhou Industrial Investment Group,q,N/A,N/A,N/A,,ERR,,none
Warner Bros. Discovery,Warner Bros. Discovery,q,N/A,N/A,N/A,,ERR,,none
CHS,CHS,q,N/A,N/A,N/A,,ERR,,none
Enbridge,Enbridge,q,N/A,N/A,N/A,,ERR,,none
Netflix,Netflix,q,N/A,N/A,N/A,,ERR,,none
Qualcomm,Qualcomm,q,N/A,N/A,N/A,,ERR,,none
KDDI,KDDI,q,N/A,N/A,N/A,,ERR,,none
Shandong Hi-Speed Group,Shandong Hi-Speed Group,q,N/A,N/A,N/A,,ERR,,none
General Electric (GE Aerospace),General Electric (GE Aerospace),q,N/A,N/A,N/A,,ERR,,none
Mercadona,Mercadona,q,N/A,N/A,N/A,,ERR,,none
Honeywell International,Honeywell International,q,N/A,N/A,N/A,,ERR,,none
Hangzhou Iron and Steel Group,Hangzhou Iron and Steel Group,q,N/A,N/A,N/A,,ERR,,none
Guangzhou Industrial Investment Holdings,Guangzhou Industrial Investment Holdings,q,N/A,N/A,N/A,,ERR,,none
Shanghai Pharmaceuticals Holding,Shanghai Pharmaceuticals Holding,q,N/A,N/A,N/A,,ERR,,none
Suzuki Motor,Suzuki Motor,q,N/A,N/A,N/A,,ERR,,none
Vale,Vale,q,N/A,N/A,N/A,,ERR,,none
ThyssenKrupp,ThyssenKrupp,q,N/A,N/A,N/A,,ERR,,none
Salesforce,Salesforce,q,N/A,N/A,N/A,,ERR,,none
Philip Morris International,Philip Morris International,q,N/A,N/A,N/A,,ERR,,none
US Foods Holding,US Foods Holding,q,N/A,N/A,N/A,,ERR,,none
Shenzhen Investment Holdings,Shenzhen Investment Holdings,q,N/A,N/A,N/A,,ERR,,none
Westpac Banking,Westpac Banking,q,N/A,N/A,N/A,,ERR,,none
Jiangsu Shagang Group,Jiangsu Shagang Group,q,N/A,N/A,N/A,,ERR,,none
AIA Group,AIA Group,q,N/A,N/A,N/A,,ERR,,none
Guangdong Guangxin Holdings,Guangdong Guangxin Holdings,q,N/A,N/A,N/A,,ERR,,none
QNB Group,QNB Group,q,N/A,N/A,N/A,,ERR,,none
NatWest Group,NatWest Group,q,N/A,N/A,N/A,,ERR,,none
La Poste,La Poste,q,N/A,N/A,N/A,,ERR,,none
Siemens Energy,Siemens Energy,q,N/A,N/A,N/A,,ERR,,none
Luxshare Precision Industry,Luxshare Precision Industry,q,N/A,N/A,N/A,,ERR,,none
Energie Baden-Wurttemberg,Energie Baden-Wurttemberg,q,N/A,N/A,N/A,,ERR,,none
Suncor Energy,Suncor Energy,q,N/A,N/A,N/A,,ERR,,none
New Hope Holding Group,New Hope Holding Group,q,N/A,N/A,N/A,,ERR,,none
China Electronics,China Electronics,q,N/A,N/A,N/A,,ERR,,none
LG Chem,LG Chem,q,N/A,N/A,N/A,,ERR,,none
SAP,SAP,q,N/A,N/A,N/A,,ERR,,none
Migros Group,Migros Group,q,N/A,N/A,N/A,,ERR,,none
Meiji Yasuda Life Insurance,Meiji Yasuda Life Insurance,q,N/A,N/A,N/A,,ERR,,none
D.R. Horton,D.R. Horton,q,N/A,N/A,N/A,,ERR,,none
OMV Group,OMV Group,q,N/A,N/A,N/A,,ERR,,none
Lithia Motors,Lithia Motors,q,N/A,N/A,N/A,,ERR,,none
CFE,CFE,q,N/A,N/A,N/A,,ERR,,none
Mondelez International,Mondelez International,q,N/A,N/A,N/A,,ERR,,none
Schlumberger,Schlumberger,q,N/A,N/A,N/A,,ERR,,none
Ansteel Group,Ansteel Group,q,N/A,N/A,N/A,,ERR,,none
Mitsubishi Electric,Mitsubishi Electric,q,N/A,N/A,N/A,,ERR,,none
Jer�nimo Martins,Jer�nimo Martins,q,N/A,N/A,N/A,,ERR,,none
Starbucks,Starbucks,q,N/A,N/A,N/A,,ERR,,none
Hailiang Group,Hailiang Group,q,N/A,N/A,N/A,,ERR,,none
Mapfre Group,Mapfre Group,q,N/A,N/A,N/A,,ERR,,none
CK Hutchison Holdings,CK Hutchison Holdings,q,N/A,N/A,N/A,,ERR,,none
ELO Group,ELO Group,q,N/A,N/A,N/A,,ERR,,none
Visa,Visa,q,N/A,N/A,N/A,,ERR,,none
China Datang,China Datang,q,N/A,N/A,N/A,,ERR,,none
CRRC Group,CRRC Group,q,N/A,N/A,N/A,,ERR,,none
Jardine Matheson,Jardine Matheson,q,N/A,N/A,N/A,,ERR,,none
Sompo Holdings,Sompo Holdings,q,N/A,N/A,N/A,,ERR,,none
TongLing Nonferrous Metals Group,TongLing Nonferrous Metals Group,q,N/A,N/A,N/A,,ERR,,none
CBRE Group,CBRE Group,q,N/A,N/A,N/A,,ERR,,none
Rabobank Group,Rabobank Group,q,N/A,N/A,N/A,,ERR,,none
Shudao Investment Group,Shudao Investment Group,q,N/A,N/A,N/A,,ERR,,none
Guangzhou Municipal Construction Group,Guangzhou Municipal Construction Group,q,N/A,N/A,N/A,,ERR,,none
Daiwa House Industry,Daiwa House Industry,q,N/A,N/A,N/A,,ERR,,none
CRH,CRH,q,N/A,N/A,N/A,,ERR,,none
Lennar,Lennar,q,N/A,N/A,N/A,,ERR,,none
Guangzhou Pharmaceutical Holdings,Guangzhou Pharmaceutical Holdings,q,N/A,N/A,N/A,,ERR,,none
Country Garden Holdings,Country Garden Holdings,q,N/A,N/A,N/A,,ERR,,none
Pegatron,Pegatron,q,N/A,N/A,N/A,,ERR,,none
GE Vernova,GE Vernova,q,N/A,N/A,N/A,,ERR,,none
GS Caltex,GS Caltex,q,N/A,N/A,N/A,,ERR,,none
ICICI Bank,ICICI Bank,q,N/A,N/A,N/A,,ERR,,none
Shandong Gold Group,Shandong Gold Group,q,N/A,N/A,N/A,,ERR,,none
International Airlines Group,International Airlines Group,q,N/A,N/A,N/A,,ERR,,none
Shanghai Delong Steel Group,Shanghai Delong Steel Group,q,N/A,N/A,N/A,,ERR,,none
PNC Financial Services Group,PNC Financial Services Group,q,N/A,N/A,N/A,,ERR,,none
Perusahaan Listrik Negara,Perusahaan Listrik Negara,q,N/A,N/A,N/A,,ERR,,none
Emirates Group,Emirates Group,q,N/A,N/A,N/A,,ERR,,none
Beijing Jianlong Heavy Industry Group,Beijing Jianlong Heavy Industry Group,q,N/A,N/A,N/A,,ERR,,none
Cummins,Cummins,q,N/A,N/A,N/A,,ERR,,none
China National Coal Group,China National Coal Group,q,N/A,N/A,N/A,,ERR,,none
Air France-KLM Group,Air France-KLM Group,q,N/A,N/A,N/A,,ERR,,none
Sumitomo Life Insurance,Sumitomo Life Insurance,q,N/A,N/A,N/A,,ERR,,none
Paccar,Paccar,q,N/A,N/A,N/A,,ERR,,none
Metro,Metro,q,N/A,N/A,N/A,,ERR,,none
BAE Systems,BAE Systems,q,N/A,N/A,N/A,,ERR,,none
Tongwei Group,Tongwei Group,q,N/A,N/A,N/A,,ERR,,none
Greenland Holding Group,Greenland Holding Group,q,N/A,N/A,N/A,,ERR,,none
China National Aviation Fuel Group,China National Aviation Fuel Group,q,N/A,N/A,N/A,,ERR,,none
Amgen,Amgen,q,N/A,N/A,N/A,,ERR,,none
Hunan Iron & Steel Group,Hunan Iron & Steel Group,q,N/A,N/A,N/A,,ERR,,none
St. James's Place,St. James's Place,q,N/A,N/A,N/A,,ERR,,none
PBF Energy,PBF Energy,q,N/A,N/A,N/A,,ERR,,none
British American Tobacco,British American Tobacco,q,N/A,N/A,N/A,,ERR,,none
Linde,Linde,q,N/A,N/A,N/A,,ERR,,none
Mitsubishi Heavy Industries,Mitsubishi Heavy Industries,q,N/A,N/A,N/A,,ERR,,none
Guangxi Investment Group,Guangxi Investment Group,q,N/A,N/A,N/A,,ERR,,none
GuideWell Mutual Holding,GuideWell Mutual Holding,q,N/A,N/A,N/A,,ERR,,none
Mazda Motor,Mazda Motor,q,N/A,N/A,N/A,,ERR,,none
ABB,ABB,q,N/A,N/A,N/A,,ERR,,none
Magnit,Magnit,q,N/A,N/A,N/A,,ERR,,none
CPC,CPC,q,N/A,N/A,N/A,,ERR,,none
Ecopetrol,Ecopetrol,q,N/A,N/A,N/A,,ERR,,none
Wistron,Wistron,q,N/A,N/A,N/A,,ERR,,none
Medtronic,Medtronic,q,N/A,N/A,N/A,,ERR,,none
New China Life Insurance,New China Life Insurance,q,N/A,N/A,N/A,,ERR,,none
China General Technology,China General Technology,q,N/A,N/A,N/A,,ERR,,none
Heineken,Heineken,q,N/A,N/A,N/A,,ERR,,none
