input_name,query_used,param,matched_name,ticker,exchange,cik,http_status
Xiamen C&D,Xiamen C&D,q,N/A,N/A,N/A,,200
StoneX Group,StoneX Group,q,N/A,N/A,N/A,,200
PowerChina,PowerChina,q,N/A,N/A,N/A,,200
Royal Bank of Canada,Royal Bank of Canada,q,N/A,N/A,N/A,,200
Sberbank,Sberbank,q,N/A,N/A,N/A,,200
AXA,AXA,q,N/A,N/A,N/A,,200
ENI,ENI,q,N/A,N/A,N/A,,200
Bosch Group,Bosch Group,q,N/A,N/A,N/A,,200
Tesla,Tesla,q,N/A,N/A,N/A,,200
China Post Group,China Post Group,q,N/A,N/A,N/A,,200
Royal Ahold Delhaize,Royal Ahold Delhaize,q,N/A,N/A,N/A,,200
Itochu,Itochu,q,N/A,N/A,N/A,,200
Mitsui,Mitsui,q,N/A,N/A,N/A,,200
Dell Technologies,Dell Technologies,q,N/A,N/A,N/A,,200
REWE Group,REWE Group,q,N/A,N/A,N/A,,200
Carrefour,Carrefour,q,N/A,N/A,N/A,,200
SK,SK,q,N/A,N/A,N/A,,200
PepsiCo,PepsiCo,q,N/A,N/A,N/A,,200
Tencent Holdings,Tencent Holdings,q,N/A,N/A,N/A,,200
Christian Dior,Christian Dior,q,N/A,N/A,N/A,,200
Zhejiang Rongsheng Holding Group,Zhejiang Rongsheng Holding Group,q,N/A,N/A,N/A,,200
Sinopharm,Sinopharm,q,N/A,N/A,N/A,,200
Petrobras,Petrobras,q,N/A,N/A,N/A,,200
Pemex,Pemex,q,N/A,N/A,N/A,,200
Walt Disney,Walt Disney,q,N/A,N/A,N/A,,200
United Parcel Service,United Parcel Service,q,N/A,N/A,N/A,,200
DHL Group,DHL Group,q,N/A,N/A,N/A,,200
Credit Agricole,Credit Agricole,q,N/A,N/A,N/A,,200
Taiwan Semiconductor Manufacturing,Taiwan Semiconductor Manufacturing,q,N/A,N/A,N/A,,200
Indian Oil,Indian Oil,q,N/A,N/A,N/A,,200
NTT,NTT,q,N/A,N/A,N/A,,200
Tesco,Tesco,q,N/A,N/A,N/A,,200
Mitsubishi UFJ Financial Group,Mitsubishi UFJ Financial Group,q,N/A,N/A,N/A,,200
Johnson & Johnson,Johnson & Johnson,q,N/A,N/A,N/A,,200
Toronto-Dominion Bank,Toronto-Dominion Bank,q,N/A,N/A,N/A,,200
COFCO,COFCO,q,N/A,N/A,N/A,,200
China Telecommunications,China Telecommunications,q,N/A,N/A,N/A,,200
FedEx,FedEx,q,N/A,N/A,N/A,,200
PTT,PTT,q,N/A,N/A,N/A,,200
Banco Bilbao Vizcaya Argentaria,Banco Bilbao Vizcaya Argentaria,q,N/A,N/A,N/A,,200
SAIC Motor,SAIC Motor,q,N/A,N/A,N/A,,200
UBS Group,UBS Group,q,N/A,N/A,N/A,,200
E.ON,E.ON,q,N/A,N/A,N/A,,200
People's Insurance Co. of China,People's Insurance Co. of China,q,N/A,N/A,N/A,,200
Brookfield,Brookfield,q,N/A,N/A,N/A,,200
Archer Daniels Midland,Archer Daniels Midland,q,N/A,N/A,N/A,,200
Siemens,Siemens,q,N/A,N/A,N/A,,200
Enel,Enel,q,N/A,N/A,N/A,,200
Sony,Sony,q,N/A,N/A,N/A,,200
Procter & Gamble,Procter & Gamble,q,N/A,N/A,N/A,,200
Lowe's,Lowe's,q,N/A,N/A,N/A,,200
Wuchan Zhongda Group,Wuchan Zhongda Group,q,N/A,N/A,N/A,,200
Nissan Motor,Nissan Motor,q,N/A,N/A,N/A,,200
Energy Transfer,Energy Transfer,q,N/A,N/A,N/A,,200
Groupe BPCE,Groupe BPCE,q,N/A,N/A,N/A,,200
RTX,RTX,q,N/A,N/A,N/A,,200
Albertsons,Albertsons,q,N/A,N/A,N/A,,200
Zhejiang Geely Holding Group,Zhejiang Geely Holding Group,q,N/A,N/A,N/A,,200
Engie,Engie,q,N/A,N/A,N/A,,200
U.S. Postal Service,U.S. Postal Service,q,N/A,N/A,N/A,,200
Sysco,Sysco,q,N/A,N/A,N/A,,200
Kia,Kia,q,N/A,N/A,N/A,,200
Vinci,Vinci,q,N/A,N/A,N/A,,200
Shenghong Holding Group,Shenghong Holding Group,q,N/A,N/A,N/A,,200
Seven & I Holdings,Seven & I Holdings,q,N/A,N/A,N/A,,200
State Bank of India,State Bank of India,q,N/A,N/A,N/A,,200
China FAW Group,China FAW Group,q,N/A,N/A,N/A,,200
Jiangxi Copper,Jiangxi Copper,q,N/A,N/A,N/A,,200
Shandong Weiqiao Pioneering Group,Shandong Weiqiao Pioneering Group,q,N/A,N/A,N/A,,200
JBS,JBS,q,N/A,N/A,N/A,,200
Bank of Communications,Bank of Communications,q,N/A,N/A,N/A,,200
Progressive,Progressive,q,N/A,N/A,N/A,,200
Pacific Construction Group,Pacific Construction Group,q,N/A,N/A,N/A,,200
Pertamina,Pertamina,q,N/A,N/A,N/A,,200
Uniper,Uniper,q,N/A,N/A,N/A,,200
Japan Post Holdings,Japan Post Holdings,q,N/A,N/A,N/A,,200
Airbus,Airbus,q,N/A,N/A,N/A,,200
American Express,American Express,q,N/A,N/A,N/A,,200
Orlen,Orlen,q,N/A,N/A,N/A,,200
Deutsche Bank,Deutsche Bank,q,N/A,N/A,N/A,,200
Shaanxi Coal & Chemical Industry,Shaanxi Coal & Chemical Industry,q,N/A,N/A,N/A,,200
Lloyds Banking Group,Lloyds Banking Group,q,N/A,N/A,N/A,,200
ENEOS Holdings,ENEOS Holdings,q,N/A,N/A,N/A,,200
Oil & Natural Gas,Oil & Natural Gas,q,N/A,N/A,N/A,,200
Lukoil,Lukoil,q,N/A,N/A,N/A,,200
Nippon Life Insurance,Nippon Life Insurance,q,N/A,N/A,N/A,,200
ING Group,ING Group,q,N/A,N/A,N/A,,200
Barclays,Barclays,q,N/A,N/A,N/A,,200
Lockheed Martin,Lockheed Martin,q,N/A,N/A,N/A,,200
MetLife,MetLife,q,N/A,N/A,N/A,,200
Roche Group,Roche Group,q,N/A,N/A,N/A,,200
HCA Healthcare,HCA Healthcare,q,N/A,N/A,N/A,,200
BASF,BASF,q,N/A,N/A,N/A,,200
Koc Holding,Koc Holding,q,N/A,N/A,N/A,,200
Prudential Financial,Prudential Financial,q,N/A,N/A,N/A,,200
China Merchants Bank,China Merchants Bank,q,N/A,N/A,N/A,,200
Petronas,Petronas,q,N/A,N/A,N/A,,200
Alimentation Couche-Tard,Alimentation Couche-Tard,q,N/A,N/A,N/A,,200
Lenovo Group,Lenovo Group,q,N/A,N/A,N/A,,200
Korea Electric Power,Korea Electric Power,q,N/A,N/A,N/A,,200
Toyota Tsusho,Toyota Tsusho,q,N/A,N/A,N/A,,200
China Poly Group,China Poly Group,q,N/A,N/A,N/A,,200
Wilmar International,Wilmar International,q,N/A,N/A,N/A,,200
Beijing Automotive Group,Beijing Automotive Group,q,N/A,N/A,N/A,,200
Munich Re Group,Munich Re Group,q,N/A,N/A,N/A,,200
Aluminum Corp. of China,Aluminum Corp. of China,q,N/A,N/A,N/A,,200
Sumitomo Mitsui Financial Group,Sumitomo Mitsui Financial Group,q,N/A,N/A,N/A,,200
Itau Unibanco Holding,Itau Unibanco Holding,q,N/A,N/A,N/A,,200
Boeing,Boeing,q,N/A,N/A,N/A,,200
AEON,AEON,q,N/A,N/A,N/A,,200
Xiamen ITG Holding Group,Xiamen ITG Holding Group,q,N/A,N/A,N/A,,200
Zurich Insurance Group,Zurich Insurance Group,q,N/A,N/A,N/A,,200
Unilever,Unilever,q,N/A,N/A,N/A,,200
Accenture,Accenture,q,N/A,N/A,N/A,,200
