input_name,query_used,param,matched_name,ticker,exchange,cik,http_status
US Foods Holding,US Foods Holding,q,N/A,N/A,N/A,,200
Shenzhen Investment Holdings,Shenzhen Investment Holdings,q,N/A,N/A,N/A,,200
Westpac Banking,Westpac Banking,q,N/A,N/A,N/A,,200
Jiangsu Shagang Group,Jiangsu Shagang Group,q,N/A,N/A,N/A,,200
AIA Group,AIA Group,q,N/A,N/A,N/A,,200
Guangdong Guangxin Holdings,Guangdong Guangxin Holdings,q,N/A,N/A,N/A,,200
QNB Group,QNB Group,q,N/A,N/A,N/A,,200
NatWest Group,NatWest Group,q,N/A,N/A,N/A,,200
La Poste,La Poste,q,N/A,N/A,N/A,,200
Siemens Energy,Siemens Energy,q,N/A,N/A,N/A,,200
Luxshare Precision Industry,Luxshare Precision Industry,q,N/A,N/A,N/A,,200
Energie Baden-Wurttemberg,Energie Baden-Wurttemberg,q,N/A,N/A,N/A,,200
Suncor Energy,Suncor Energy,q,N/A,N/A,N/A,,200
New Hope Holding Group,New Hope Holding Group,q,N/A,N/A,N/A,,200
China Electronics,China Electronics,q,N/A,N/A,N/A,,200
LG Chem,LG Chem,q,N/A,N/A,N/A,,200
SAP,SAP,q,N/A,N/A,N/A,,200
Migros Group,Migros Group,q,N/A,N/A,N/A,,200
Meiji Yasuda Life Insurance,Meiji Yasuda Life Insurance,q,N/A,N/A,N/A,,200
D.R. Horton,D.R. Horton,q,N/A,N/A,N/A,,200
OMV Group,OMV Group,q,N/A,N/A,N/A,,200
Lithia Motors,Lithia Motors,q,N/A,N/A,N/A,,200
CFE,CFE,q,N/A,N/A,N/A,,200
Mondelez International,Mondelez International,q,N/A,N/A,N/A,,200
Schlumberger,Schlumberger,q,N/A,N/A,N/A,,200
Ansteel Group,Ansteel Group,q,N/A,N/A,N/A,,200
Mitsubishi Electric,Mitsubishi Electric,q,N/A,N/A,N/A,,200
Jer�nimo Martins,Jer�nimo Martins,q,N/A,N/A,N/A,,200
Starbucks,Starbucks,q,N/A,N/A,N/A,,200
Hailiang Group,Hailiang Group,q,N/A,N/A,N/A,,200
Mapfre Group,Mapfre Group,q,N/A,N/A,N/A,,200
CK Hutchison Holdings,CK Hutchison Holdings,q,N/A,N/A,N/A,,200
ELO Group,ELO Group,q,N/A,N/A,N/A,,200
Visa,Visa,q,N/A,N/A,N/A,,200
China Datang,China Datang,q,N/A,N/A,N/A,,200
CRRC Group,CRRC Group,q,N/A,N/A,N/A,,200
Jardine Matheson,Jardine Matheson,q,N/A,N/A,N/A,,200
Sompo Holdings,Sompo Holdings,q,N/A,N/A,N/A,,200
TongLing Nonferrous Metals Group,TongLing Nonferrous Metals Group,q,N/A,N/A,N/A,,200
CBRE Group,CBRE Group,q,N/A,N/A,N/A,,200
Rabobank Group,Rabobank Group,q,N/A,N/A,N/A,,200
Shudao Investment Group,Shudao Investment Group,q,N/A,N/A,N/A,,200
Guangzhou Municipal Construction Group,Guangzhou Municipal Construction Group,q,N/A,N/A,N/A,,200
Daiwa House Industry,Daiwa House Industry,q,N/A,N/A,N/A,,200
CRH,CRH,q,N/A,N/A,N/A,,200
Lennar,Lennar,q,N/A,N/A,N/A,,200
Guangzhou Pharmaceutical Holdings,Guangzhou Pharmaceutical Holdings,q,N/A,N/A,N/A,,200
Country Garden Holdings,Country Garden Holdings,q,N/A,N/A,N/A,,200
Pegatron,Pegatron,q,N/A,N/A,N/A,,200
GE Vernova,GE Vernova,q,N/A,N/A,N/A,,200
GS Caltex,GS Caltex,q,N/A,N/A,N/A,,200
ICICI Bank,ICICI Bank,q,N/A,N/A,N/A,,200
Shandong Gold Group,Shandong Gold Group,q,N/A,N/A,N/A,,200
International Airlines Group,International Airlines Group,q,N/A,N/A,N/A,,200
Shanghai Delong Steel Group,Shanghai Delong Steel Group,q,N/A,N/A,N/A,,200
PNC Financial Services Group,PNC Financial Services Group,q,N/A,N/A,N/A,,200
Perusahaan Listrik Negara,Perusahaan Listrik Negara,q,N/A,N/A,N/A,,200
Emirates Group,Emirates Group,q,N/A,N/A,N/A,,200
Beijing Jianlong Heavy Industry Group,Beijing Jianlong Heavy Industry Group,q,N/A,N/A,N/A,,200
Cummins,Cummins,q,N/A,N/A,N/A,,200
China National Coal Group,China National Coal Group,q,N/A,N/A,N/A,,200
Air France-KLM Group,Air France-KLM Group,q,N/A,N/A,N/A,,200
Sumitomo Life Insurance,Sumitomo Life Insurance,q,N/A,N/A,N/A,,200
Paccar,Paccar,q,N/A,N/A,N/A,,200
Metro,Metro,q,N/A,N/A,N/A,,200
BAE Systems,BAE Systems,q,N/A,N/A,N/A,,200
Tongwei Group,Tongwei Group,q,N/A,N/A,N/A,,200
Greenland Holding Group,Greenland Holding Group,q,N/A,N/A,N/A,,200
China National Aviation Fuel Group,China National Aviation Fuel Group,q,N/A,N/A,N/A,,200
Amgen,Amgen,q,N/A,N/A,N/A,,200
Hunan Iron & Steel Group,Hunan Iron & Steel Group,q,N/A,N/A,N/A,,200
St. James's Place,St. James's Place,q,N/A,N/A,N/A,,200
PBF Energy,PBF Energy,q,N/A,N/A,N/A,,200
British American Tobacco,British American Tobacco,q,N/A,N/A,N/A,,200
Linde,Linde,q,N/A,N/A,N/A,,200
Mitsubishi Heavy Industries,Mitsubishi Heavy Industries,q,N/A,N/A,N/A,,200
Guangxi Investment Group,Guangxi Investment Group,q,N/A,N/A,N/A,,200
GuideWell Mutual Holding,GuideWell Mutual Holding,q,N/A,N/A,N/A,,200
Mazda Motor,Mazda Motor,q,N/A,N/A,N/A,,200
ABB,ABB,q,N/A,N/A,N/A,,200
Magnit,Magnit,q,N/A,N/A,N/A,,200
CPC,CPC,q,N/A,N/A,N/A,,200
Ecopetrol,Ecopetrol,q,N/A,N/A,N/A,,200
Wistron,Wistron,q,N/A,N/A,N/A,,200
Medtronic,Medtronic,q,N/A,N/A,N/A,,200
New China Life Insurance,New China Life Insurance,q,N/A,N/A,N/A,,200
China General Technology,China General Technology,q,N/A,N/A,N/A,,200
Heineken,Heineken,q,N/A,N/A,N/A,,200
